Reject row {'device_id': 'van007', 'lat': '14.682743', 'lon': '120.71595', 'timestamp': 'not-a-timestamp'}: Invalid isoformat string: 'not-a-timestamp'
Reject row {'device_id': 'van007', 'lat': '999.0', 'lon': '999.0', 'timestamp': '2025-05-12T15:32:58.726864'}: Invalid coordinates
Reject row {'device_id': 'van007', 'lat': '999.0', 'lon': '999.0', 'timestamp': '2025-05-12T15:32:58.726864'}: Invalid coordinates
Reject row {'device_id': 'van007', 'lat': '15.723629', 'lon': '120.737589', 'timestamp': 'not-a-timestamp'}: Invalid isoformat string: 'not-a-timestamp'
Reject row {'device_id': 'van007', 'lat': '16.068442', 'lon': '120.66563', 'timestamp': 'not-a-timestamp'}: Invalid isoformat string: 'not-a-timestamp'
Reject row {'device_id': 'van007', 'lat': '999.0', 'lon': '999.0', 'timestamp': '2025-05-12T15:32:58.726864'}: Invalid coordinates
Reject row {'device_id': 'van007', 'lat': '999.0', 'lon': '999.0', 'timestamp': '2025-05-12T15:32:58.726864'}: Invalid coordinates
Reject row {'device_id': 'van007', 'lat': '14.910641', 'lon': '120.907262', 'timestamp': 'not-a-timestamp'}: Invalid isoformat string: 'not-a-timestamp'
Reject row {'device_id': 'van007', 'lat': '999.0', 'lon': '999.0', 'timestamp': '2025-05-12T15:32:58.726864'}: Invalid coordinates
Reject row {'device_id': 'van007', 'lat': '14.644521', 'lon': '120.821656', 'timestamp': 'not-a-timestamp'}: Invalid isoformat string: 'not-a-timestamp'
Reject row {'device_id': 'van007', 'lat': '999.0', 'lon': '999.0', 'timestamp': '2025-05-12T15:32:58.726864'}: Invalid coordinates
Reject row {'device_id': 'van007', 'lat': '14.15002', 'lon': '121.018518', 'timestamp': 'not-a-timestamp'}: Invalid isoformat string: 'not-a-timestamp'
Reject row {'device_id': 'van007', 'lat': '14.772391', 'lon': '120.467444', 'timestamp': 'not-a-timestamp'}: Invalid isoformat string: 'not-a-timestamp'
Reject row {'device_id': 'van007', 'lat': '13.768779', 'lon': '121.057061', 'timestamp': 'not-a-timestamp'}: Invalid isoformat string: 'not-a-timestamp'
